stem,dice_background,dice_srf,dice_irf,dice_elm,dice_ez
98_4,0.990728,,0.744747,,0.337963
98_5,0.989644,,0.777981,0.43617,0.672269
98_6,0.99094,,0.793414,0.0,0.477419
98_7,0.989878,,0.769995,0.528796,0.602041
98_8,0.99053,,0.746247,0.754011,0.495522
98_9,0.982579,0.796637,0.760617,0.423803,0.666667
99_1,0.994824,,0.67509,0.0,0.727657
99_10,0.993436,,0.775389,,0.559838
99_11,0.995153,,0.848092,,0.735799
99_12,0.989466,,0.743914,,0.654577
99_13,0.989992,,0.694462,,0.694992
99_14,0.994246,,0.737899,,0.778502
99_15,0.991892,,0.770329,,0.633003
99_16,0.991682,,0.730167,,0.660641
99_17,0.992499,,0.774606,,0.704514
99_18,0.99422,,0.70724,,0.677761
99_2,0.994038,,0.728546,,0.8
99_3,0.994238,,0.738659,,0.744089
99_4,0.995601,,0.781735,,0.823002
99_5,0.993554,,0.766864,,0.718923
99_6,0.99289,,0.767237,,0.697674
99_7,0.993841,,0.799822,,0.760583
99_8,0.993162,,0.811918,,0.691575
99_9,0.992175,,0.760648,,0.629768
9_1,0.983542,0.892014,0.768915,0.131507,0.42515
9_10,0.987138,0.933861,0.889987,0.0,0.505983
9_11,0.985329,0.914254,0.85158,0.0,0.355786
9_12,0.98553,0.924704,0.820977,0.138122,0.471795
9_13,0.980828,0.947237,0.757205,0.0,0.439684
9_14,0.982962,0.931613,0.781092,0.0,0.72381
9_15,0.984074,0.934538,0.8666,0.015873,0.72233
9_16,0.980737,0.9269,0.840347,0.19398,0.70155
9_17,0.980242,0.930312,0.848086,0.0,0.525114
9_18,0.984085,0.944923,0.855695,,0.817967
9_19,0.983974,0.926919,0.883273,0.0,0.78453
9_2,0.986053,0.915985,0.811843,0.148423,0.460282
9_20,0.987435,0.93953,0.908495,,0.691429
9_21,0.985791,0.944791,0.858318,,0.436364
9_22,0.987357,0.951527,0.892141,,0.609023
9_3,0.98724,0.94354,0.776429,0.021898,0.723179
9_4,0.989072,0.896973,0.830884,0.0,0.741313
9_5,0.988297,0.9287,0.816158,0.0,0.689032
9_6,0.983696,0.917099,0.834292,0.0,0.753247
9_7,0.987167,0.928068,0.865943,0.02,0.647619
9_8,0.983717,0.896083,0.878124,0.0,0.412646
9_9,0.989574,0.939522,0.905839,0.0,0.64486
